type	index	image	question	A	B	C	D	answer
frg	12	data/figure/frg/2023-10-15--汽车零部件-菱电电控-双转战略促量价齐升逻辑凸显，T-BOX塑造第二增长极_page5_图1菱电电控发展历程.jpg	图中哪位股东的持股比例最高？	无法确定	龚本和	吴章华	谭纯	A
frg	13	data/figure/frg/2022-12-05--工程建设-山东路桥-交通强省潜力十足，山东基建龙头再腾飞_page6_图表4公司股权结构截至2022Q3.jpg	根据图表，山东路桥集团重组后加入山东高速集团的时间是？	无法确定	2006年	2008-2011年	2019年	A
frg	14	data/figure/frg/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page27_图表成达公司氯碱及下游产品链.jpg	中国化学工程股份有限公司的最大股东是谁？	无法确定	全国社会保障基金理事会	中化EB担保及信托财产专户	金石制造业转型升级新材料基金（有限合伙）	A
frg	15	data/figure/frg/2022-12-12--电池-南都电源-全面构建产业一体化，锂电储能量利双升_page4_图表2南都电源发展历程.jpg	废旧锂离子电池回收利用过程中，带电破碎后的下一步是什么？	无法确定	电解液收集装置	气体净化装置	多组份筛分分选装置	A
frg	16	data/figure/frg/2022-11-13--文化传媒-博纳影业-深度报告：深耕主旋律商业化，布局全产业链稳中求胜_page17_图表公司业务模式.jpg	以下哪部电影标志着主旋律电影创作的崭新篇章？	《湄公河行动》	《战狼2》	《红海行动》	无法确定	D
frg	17	data/figure/frg/2023-01-09--电子元件-方邦股份-首次覆盖：电磁屏蔽膜有望突破大客户；铜箔、FCCL多元布局打开成长空间_page2_图1FPC产业链.jpg	方邦电子有限公司在哪一年成功将高端屏蔽膜推向市场？	2015	无法确定	2018	2019	B
frg	18	data/figure/frg/2023-06-18--医疗器械-山外山-全产业链布局的国产血液净化龙头_page11_图12血液净化全产业链.jpg	根据图片内容，哪种血液净化耗材主要用于清除血液内的有害物质、维持电解质和酸碱平衡？	透析液/粉	无法确定	灌流器	血液回路	B
frg	19	data/figure/frg/2023-01-13--软件开发-博思软件-持续高成长的政务IT龙头，数字经济夯实成长台阶_page13_图表15公司主要产品情况.jpg	博思软件在2001-2008年期间的主要业务是什么？	无法确定	布局全国，开拓进取	乘风破浪，跨越发展	专注科技与创新，更好服务于社会公众	A
frg	20	data/figure/frg/2022-12-15--化学制品-国瓷材料-重点布局陶瓷基板领域，多点开花未来成长可期_page29_no_caption.jpg	根据图片内容，以下哪个公司在2018年成立？	深圳爱尔创新材料有限公司	无法确定	上海国瓷博晶新材料科技有限公司	山东国瓷电子科技发展有限公司	B
frg	21	data/figure/frg/2023-11-29--半导体-炬光科技-光学元器件为基，赋能激光雷达+光刻+嫩肤_page6_图1炬光科技发展历程.jpg	一致行动人中，刘兴胜、王东辉和西安宁炬的持股比例之和是多少？	无法确定	20.83%	22.83%	23.83%	A
frg	22	data/figure/frg/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page6_图9铝产业链结构.jpg	江苏鼎胜新能源材料股份有限公司的控股股东是谁？	周贤海	王小丽	无法确定	北京普润平方股权投资中心(有限合伙)	C
frg	23	data/figure/frg/2022-10-12--医疗器械-联影医疗-中国大型医疗设备龙头崛起_page19_图9联影医疗股权结构及子公司设立情况.jpg	乐普（北京）医疗器械股份有限公司的直接股东有哪些？	无法确定	中船重工725所、北京厚德、美国WP公司、其余股东	中船重工725所、华瑞纵横、美国WP公司、其余股东	中船重工725所、北京厚德、宁波厚德、其余股东	A
frg	24	data/figure/frg/2023-02-12--中药-健民集团-公司首次覆盖报告：打造儿药优势品种，体培牛黄有望持续贡献收益_page3_图1健民集团股权结构据2022年公司三季报统计.jpg	图中昆药集团股份有限公司的直接股东有哪些？	无法确定	华润医药控股有限公司、香港中央结算有限公司、其他	海南天禾健康产业有限公司、昆药集团健康服务有限公司、云南昆药生活服务有限公司、西双版纳版纳药业有限责任公司、昆明中药厂有限公司	华立集团股份有限公司、其他	A
frg	25	data/figure/frg/2022-11-30--食品饮料-天味食品-渠道良性稳健发展，产品品牌具备持久动能_page13_图表25天味食品历史沿革.jpg	好人家品牌在2017年推出了哪款产品？	无法确定	不辣汤火锅底料	川味复合调味料	四川名牌产品	A
pg	26	data/figure/pg/2023-07-10--家电行业-科沃斯-双轮驱动，持续领跑清洁电器赛道_page17_图表24消费者清扫家庭地面的习惯.jpg	根据图表，中国家庭地板材质中，哪一种材质的偏好度最高？	地毯	木地板	无法确定	其他	C
pg	27	data/figure/pg/2024-01-19--中药-马应龙-肛肠品牌老字号，打造“医+药+养”结合新模式_page12_图表122022年中国痔疮用药分类占比.jpg	根据饼图，乳膏剂在中国痔疮用药市场细分药品类型中占比多少？	62%	18%	无法确定	4%	C
pg	28	data/figure/pg/2024-01-08--半导体-圣邦股份-泛模拟平台成型，厚积薄发开启新一轮成长_page14_图22公司收入的下游分布2022年.jpg	根据饼图，2022年公司收入中电源管理芯片的占比是多少？	37.41%	无法确定	0.12%	50%	B
pg	29	data/figure/pg/2023-02-27--酿酒行业-青岛啤酒-深度报告：打铁自身硬，一意战高端_page13_图272021年我国啤酒行业竞争格局销量口径.jpg	根据图中的成本构成，哪种成本占比最高？	无法确定	麦芽	直接人工	包装	A
pg	30	data/figure/pg/2023-01-05--化肥行业-盐湖股份-钾锂双业务发展，未来成长可期_page10_图15钾肥下游需求结构.jpg	在205岁以下儿童住院疾病构成中，呼吸道疾病的占比是多少？	32.1%	无法确定	25.4%	6.0%	B
pg	31	data/figure/pg/2023-05-24--软件开发-金橙子-激光振镜控制系统领先企业加速布局未来_page13_no_caption.jpg	根据图中的业务占比情况，'大消费、广告、包装'与'精密五金加工等'的占比差距是多少？	25.3%	24.7%	0.263	无法确定	D
pg	32	data/figure/pg/2024-05-08--农牧饲渔-秋乐种业-玉米种优质企业，新品种助力业务稳增长_page9_图132021年全球种子企业市场份额分布.jpg	2021年玉米的种植面积占总种植面积的比例是多少？	36.25%	无法确定	12.74%	12.30%	B
pg	33	data/figure/pg/2023-03-07--光学光电子-茂莱光学-茂莱光学深度：工业级精密光学稀缺标的，下游领域多点开花_page17_no_caption.jpg	如果将市场份额低于5%的企业合并为一个类别，其市场份额总和为多少？	0.05	8%	10%	无法确定	D
pg	34	data/figure/pg/2023-02-17--小金属-中国稀土-公司深度报告：中国稀土：整合开启，掌控提升_page23_图34美国稀土下游应用占比.jpg	根据图中的产量结构，稀土抛光材料的占比是多少？	8.73%	无法确定	45.44%	0.58%	B
pg	35	data/figure/pg/2023-02-26--电池-孚能科技-“孚”摇直上，蓄“能”勃发_page9_图表122021年中国软包动力电池竞争格局.jpg	2022年中国动力电池装机份额中，宁德时代的市场份额是比亚迪的多少倍？	无法确定	1.85倍	2.34倍	1.97倍	A
pg	36	data/figure/pg/2023-12-27--化纤行业-新凤鸣-凤鸣长新，龙头精进_page15_图382022年我国涤纶短纤消费结构.jpg	如果将市场份额低于5%的企业合并为一个类别，其市场份额总和为多少？	3.46%	0.0423	无法确定	6.07%	C
pg	37	data/figure/pg/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page44_图表光伏电站初始投资的构成2019年.jpg	在2022年，光伏组件成本中电池片的占比是多少？	3%	5%	无法确定	9%	C
pg	38	data/figure/pg/2023-06-29--装修装饰-华凯易佰-跨境电商龙头再迎数字化腾飞_page9_图表12公司主要产品品类的营收占比.jpg	根据饼图，跨境出口电商业务占公司总收入的比例是多少？	6.16%	0.75%	93.02%	无法确定	D
pg	39	data/figure/pg/2022-12-06--造纸印刷-山鹰国际-产业企稳向上，一体化龙头优势显现_page8_图102021年中国包装行业累计营业收入结构.jpg	如果箱板纸的收入占比增加5%，而其他业务的收入占比保持不变，那么瓦楞纸的收入占比将变为多少？	无法确定	9.37%	10.37%	11.37%	A
pg	40	data/figure/pg/2022-11-30--半导体-东微半导-季报点评：产品结构和下游结构不断完善，未来持续高成长可期_page2_图4公司22H1产品结构情况.jpg	2022年上半年，纳芯微的哪类产品市场份额最大？	驱动与采样芯片	隔离与接口芯片	无法确定	定制服务	C
pg	41	data/figure/pg/2023-03-26--酿酒行业-洋河股份-公司深度研究：逆势显韧性，决胜次高端，公司稳步向前_page8_图7洋河股份产品结构完善2021年销售口径.jpg	2024年洋河股份产品结构中，M9 手工班等的市场份额占比是多少？	30%	25%	无法确定	15%	C
pg	42	data/figure/pg/2023-11-29--仪器仪表-东华测试-国内结构力学测试龙头，电化学与PHM业务带来新增长点_page8_图表14公司下游客户以军工及高校为主.jpg	根据饼图，达标机型的占比是多少？	7%	0.13	24%	无法确定	D
pg	43	data/figure/pg/2024-03-06--物流行业-华贸物流-传统货代业务转型，跨境电商物流成长可期_page4_图32022年公司分业务毛利占比.jpg	根据图中数据，2022年公司分业务营收占比中，哪项业务的占比最高？	海运货代	空运货代	跨境电商物流	无法确定	D
pg	44	data/figure/pg/2024-02-20--化学原料-华鲁恒升-低成本筑壁垒，双基地促成长_page45_图712022年草酸行业产品结构.jpg	根据图中的数据，哪个领域的草酸应用占比最高？	稀土	无法确定	医药	其他	B
pg	45	data/figure/pg/2023-09-28--装修建材-欧派家居-进击大家居之巅：破浪前行，勇者无疆_page18_图3823年Q1按品类分下单业绩.jpg	根据图中的业务占比情况，厨房独立的占比是衣柜独立的多少倍？	0.5倍	1倍	无法确定	3倍	C
pg	46	data/figure/pg/2023-01-12--家电行业-德业股份-德业股份：逆变器黑马，储能+微逆双驱动_page20_图表422022年前三季度公司储能市场分布.jpg	根据图中的市场分布情况，巴西市场的占比是多少？	5%	3%	无法确定	77%	C
pg	47	data/figure/pg/2022-12-11--电子元件-顺络电子-顺络电子：汽车+新能源带来新成长，国内电感龙头再启航_page12_图表202019年全球电感市场分布产值.jpg	根据图中的业务占比情况，电脑业务的占比为多少？	0.55	0.2	4%	7%	B
pg	48	data/figure/pg/2022-10-14--通用设备-祥鑫科技-首次覆盖报告：好赛道搭配好客户，新能源助推快成长_page17_图16微型光伏逆变器市场格局2020.jpg	2021年全球光伏逆变器市场中，阳光电源的市场份额比华为高多少百分点？	8.2	9.2	7.2	无法确定	D
pg	49	data/figure/pg/2022-12-28--小金属-博迁新材-高端粉体材料平台企业雏形已现_page7_图表132020年中国电容器市场结构分布.jpg	根据2019年全球电容器市场结构分布，陶瓷电容器的市场份额占比是多少？	49%	无法确定	8%	7%	B
pg	50	data/figure/pg/2023-06-21--通用设备-铂力特-首次覆盖报告：新材料系列#6：金属增材制造龙头；技术变革引领行业蓝海_page17_图402021年国增材务市场拆分.jpg	根据图中的市场拆分情况，FDM技术的占比为多少？	26%	30%	无法确定	4%	C
