type	index	image	question	A	B	C	D	answer
lc	26	data/figure/lc/2023-03-27--华鑫证券-高频指标周报：海外加息近尾声，国内政策再发力_page14_图表24二手房成交再度出现回暖平方米.jpg	哪一年的二手房成交面积增长最快？	2019	2020	2021	2023	D
lc	27	data/figure/lc/2023-07-23--东吴证券-宏观周报：“研究提出一批政策”陆续落地，有何侧重与线索？_page13_图20沥青开工率小幅上升.jpg	哪一年的沥青开工率最低？	2019年	2020年	2021年	2022年	D
lc	28	data/figure/lc/2023-06-12--国金证券-海外周度观察：GDP和GDI的“背离”与“真相”-美国经济重现“技术性衰退”_page12_no_caption.jpg	哪一年法国的航班飞行次数首次超过4000次？	2021	2022	2023	2020	B
lc	29	data/figure/lc/2024-05-09--国金证券-2024年4月经济数据前瞻：4月经济前瞻：“量增”强于“价涨”_page17_图表64本周玻璃产量持平上周.jpg	2023年哪个月份的玻璃周产量最低？	1月	2月	3月	4月	A
lc	30	data/figure/lc/2023-06-14--平安证券-2023下半年宏观经济展望：产能周期下的嬗变_page77_circledcirc4月以来人民币相对美元持续弱势.jpg	哪段时间内美元兑人民币汇率最高？	2022年1月	2022年10月	2023年1月	2023年4月	B
lc	31	data/figure/lc/2024-08-07--东海证券-国内观察：2024年7月进出口数据：出口有所放慢，进口超预期回暖_page3_图1以美元计价出口金额及同比增速亿美元.jpg	哪一年出口金额同比增速最低？	2020年	2021年	2022年	2023年	A
lc	32	data/figure/lc/2024-05-02--中国银河-兼评FOMC会议与财政部融资计划：滞胀风险下的美联储平衡术_page1_no_caption.jpg	哪一年美国失业率首次降至4%以下？	2016	2017	2018	2019	D
lc	33	data/figure/lc/2024-01-05--开源证券-宏观经济专题：人民币汇率：2024年可能的“变与不变”_page8_图11欧元区通胀下行较快.jpg	核心HICP在哪一年开始显著上升？	2020年	2021年	2022年	2023年	B
lc	34	data/figure/lc/2023-09-11--光大期货-宏观周报：通胀价格企稳_page13_图表12浮法平板玻璃价格单位元吨.jpg	在2022年，价格最高的是哪一年的数据？	2019年	2020年	2021年	2022年	C
lc	35	data/figure/lc/2024-02-25--华泰期货-宏观大类周报：LPR超预期下调，等待需求端信号确认_page7_图22欧元英镑丨单位无.jpg	英镑在哪一年达到最高点？	2022	2023	2024	22-May	B
lc	36	data/figure/lc/2023-11-08--国联证券-10月外贸数据点评：总需求走强的证据进一步显现_page3_图表6农产品和原材料的出口金额季调.jpg	原材料出口金额在哪一年出现最低点？	2020年	2021年	2022年	2023年	A
lc	37	data/figure/lc/2024-01-11--中银证券-2024年宏观经济与大类资产配置展望：复苏起点_page9_图表12美国库存同比增速.jpg	零售库存同比增速在哪一年首次出现负增长？	2009	2012	2015	2021	A
lc	38	data/figure/lc/2023-07-19--开源证券-2023年6月经济数据点评：当前经济的支撑_page1_附图3居民储蓄意愿仍保持较高.jpg	在哪个年份，中国居民消费占比达到最低点？	2018	2020	2021	2023	B
lc	39	data/figure/lc/2023-11-24--开源证券-宏观深度报告：2024年宏观经济展望-破浪前行_page48_图91CPI和PPI预测.jpg	PPI同比在哪一年达到峰值？	2020	2021	2022	2023	B
lc	40	data/figure/lc/2024-03-29--光大期货-宏观周报：基建投资增速保持稳健_page26_图表执行航班数中国国内航班不含港澳台周平均单位班次.jpg	在哪一年，航班数出现了明显的下降趋势？	2022年	2023年	2024年	2025年	A
lc	41	data/figure/lc/2024-04-16--中银证券-3月和一季度经济数据点评：稳增长成绩来之不易_page2_图表5工业增加值同比增速.jpg	图中显示，哪一年的工业增加值当月同比增速最低？	2020年	2021年	2022年	2023年	A
lc	42	data/figure/lc/2023-04-10--中信期货-基建实物工作量高频数据跟踪_page7_no_caption.jpg	图中水利投资当月同比在哪个月份出现最低点？	2022年12月	2023年1月	2023年2月	2023年3月	B
lc	43	data/figure/lc/2023-12-09--民生证券-高频数据跟踪周报：国际原油价格连降七周_page12_图32本周猪肉平均批发价下降元公斤.jpg	哪一年的猪肉平均批发价最低？	2018	2019	2020	2023	A
lc	44	data/figure/lc/2024-01-09--联储证券-美国12月非农点评：就业超预期程度或被高估_page6_no_caption.jpg	哪类企业在2022年中期的就业超预期程度最低？	微型企业	小型企业	中型企业	大型企业	D
lc	45	data/figure/lc/2023-05-12--中信期货-4月金融数据点评：居民贷款暂时减少，企业贷款相对积极_page1_图表6历年社会融资规模累计值.jpg	在哪个年份，新增人民币贷款当月同比达到最高点？	2019	2020	2021	2023	D
lc	46	data/figure/lc/2023-06-06--浦银国际证券-2023年中期宏观经济展望：美国渐入衰退，中国复苏再起_page37_no_caption.jpg	图中哪条曲线在2023年Q1的增长率最高？	平均每小时薪资同比	雇佣成本指数同比	亚特兰大联储薪资增长指数	所有曲线增长率相同	C
lc	47	data/figure/lc/2023-07-31--中泰证券-高频数据观察：大宗商品价格上行_page6_图表16出口集装箱运价指数.jpg	CCFI综合指数在2022年的哪个季度开始显著下降？	第一季度	第二季度	第三季度	第四季度	C
lc	48	data/figure/lc/2023-08-10--北大国民经济研究中心-CPI、PPI点评报告：服务消费价格表现较好，工业出厂价格拐点已现_page6_图15生产资料价格分项同比增速.jpg	原材料工业的生产资料价格增速在哪一年达到最低点？	2019年	2020年	2021年	2022年	B
lc	49	data/figure/lc/2024-01-19--华福证券-2023年四季度及全年经济数据解析_page6_图表82023年四季度消费一直维持在较高增速.jpg	哪一年的社会消费品零售总额当月同比增速波动最大？	2020年	2021年	2022年	2023年	A
lc	50	data/figure/lc/2024-04-10--华泰期货-宏观大类日报：聚焦美国3月CPI_page4_图12国有银行同业存单利率丨单位.jpg	在哪个时间段，6个月期和1年期利率的差距最大？	2019年Q1-Q2	2020年Q3-Q4	2021年Q1-Q2	2022年Q3-Q4	C
lc	51	data/figure/lc/2023-09-21--国信证券-高技术制造业宏观周报：国信周频高技术制造业扩散指数继续保持扩张_page0_市场走势.jpg	在哪一年，CPI与PPI的差距最大？	2022年	2023年	2024年	2025年	B
lc	52	data/figure/lc/2024-09-23--诚通证券-宏观与大类资产周报：美联储降息，人民币汇率升值_page11_图13财政收入支出增速下滑.jpg	哪一年公共财政收入累计同比增速最高？	21-Apr	21-Jun	23-Apr	24-Feb	A
lc	53	data/figure/lc/2023-05-24--东海证券-供需视角下的房地产趋势研判：今朝不似昨朝寒，地产两极化显然_page26_图57房地产竣工端相关消费增速.jpg	家用电器和音像器材类消费增速在哪个时间段内波动最大？	2018-2019	2019-2020	2020-2021	2021-2022	C
lc	54	data/figure/lc/2022-11-11--北大国民经济研究中心-CPI、PPI点评报告：居民消费价格见顶回落，逆剪刀差年内或仍持续_page6_no_caption.jpg	在哪个年份，PPI:生活资料的同比增速首次低于零？	2018	2019	2020	2021	C
lc	55	data/figure/lc/2024-06-28--平安证券-宏观深度报告：民间投资的新特征与新趋向_page13_图表2865家重点房企历年平均净负债率情况分所有制.jpg	哪一年国企的净负债率最高？	2019年	2021年	2022年	2023年	A
lc	56	data/figure/lc/2023-05-19--国金证券-4月财政数据点评：财政支出与落地，缘何背离？_page5_图表162023年4月一般财政政府性收入均有改善.jpg	图中哪一年的财政收入波动最为剧烈？	2020年	2021年	2022年	2023年	C
lc	57	data/figure/lc/2023-11-06--联储证券-9月经济数据解读：固定资产稳健增长，增量政策蓄力待发_page12_no_caption.jpg	哪个行业在2022年1月至2022年3月期间增长最快？	交通运输、仓储和邮政业	道路运输业	铁路运输业	水路运输业	A
lc	58	data/figure/lc/2024-06-20--光大期货-宏观周报：政府专项债拉动社融同比增长_page27_图表义乌中国小商品指数出口价格指数单位点.jpg	哪一年的指数在年初达到最高点？	2022年	2023年	2024年	2025年	C
lc	59	data/figure/lc/2023-11-02--国联证券-高频数据跟踪（2023年10月第4周）：需求表现分化，基建施工景气略有改善_page15_no_caption.jpg	哪一年的PTA价格整体最低？	2019	2020	2021	2023	B
lc	60	data/figure/lc/2023-07-06--国金证券-大类资产周报第4期：“低库存”下的投资机遇？_page7_图表22铜全球库存从3月开始去库至历史低位.jpg	哪一年的铜全球库存最低？	2019	2020	2021	2023	D
lc	61	data/figure/lc/2024-01-25--海通国际-全球能源转型：越南新能源深度探究；越南绿色革命的机遇_page29_图81尿素价格开始企稳.jpg	图中哪一年中东粒状现货价格首次超过750美元/吨？	2020年	2021年	2022年	2023年	B
lc	62	data/figure/lc/2023-10-06--西南证券-9月PMI数据点评：重回扩张区间，复苏持续性如何？_page4_图6供应商配送时间指数企业利润前瞻指数回落.jpg	BCI企业利润前瞻指数在哪一年出现最大跌幅？	2020年	2021年	2022年	2023年	A
lc	63	data/figure/lc/2023-10-18--华福证券-中国经济三季报：经济延续恢复向好态势_page11_图表18商品房销售面积同比增速变化情况.jpg	哪一年的商品房销售面积当月同比增速出现了明显的负增长？	2019	2020	2022	2023	B
lc	64	data/figure/lc/2023-08-09--信达证券-暨出口份额分析框架：出口的短期机会与长期挑战_page18_no_caption.jpg	哪一年美国零售商销售额的同比增长率波动最大？	2014	2016	2018	2020	D
lc	65	data/figure/lc/2024-09-17--交银国际证券-美国8月非农就业点评：预计9月降息25基点仍是基准场景_page3_图表13平均时薪同比及环比.jpg	哪一年的裁员率最低？	2016	2018	2020	2024	D
lc	66	data/figure/lc/2024-02-05--国金证券-大类资产月报第9期：2月展望，行至水穷处？_page16_图表51本月3个月2年期与10年期国债收益率.jpg	图中哪个指标在2023年达到最低值？	3M	2Y	10Y	所有指标均未达到最低值	A
lc	67	data/figure/lc/2024-04-22--光大期货-宏观周报：一季度经济数据受到高基数的扰动_page24_图表成都地铁客运量单位万人.jpg	哪一年的地铁客运量在9月达到最低点？	2021年	2022年	2023年	2024年	B
lc	68	data/figure/lc/2024-08-04--开源证券-宏观周报：二手房成交有所回落_page6_图12最近两周铜铝价格延续回落.jpg	图中LME3个月铝价格在哪段时间内下降最快？	2023年8月至2023年10月	2024年2月至2024年4月	2024年6月至2024年8月	2023年12月至2024年2月	C
lc	69	data/figure/lc/2023-06-07--中泰证券-宏观经济周刊：国内地产销售趋缓，海外加息预期再升温_page12_图表27主要经济体制造业PMI.jpg	欧元区制造业PMI在2021年的最高点出现在哪个月份？	21-May	21-Jul	21-Sep	21-Nov	A
lc	70	data/figure/lc/2023-11-09--东吴证券-宏观点评：通胀回升的难度在哪？_page1_图4四季度财政发力.jpg	图中哪一年的赤字率目标与实际赤字率差距最大？	2011	2015	2017	2023	D
lc	71	data/figure/lc/2023-10-16--开源证券-9月通胀数据点评：大宗商品涨价驱动PPI环比回升_page5_图72022年基数回落PPI同比回升.jpg	图中显示，PPI生产资料同比在哪个时间段内波动最大？	2019-2020	2020-2021	2021-2022	2022-2023	C
lc	72	data/figure/lc/2023-11-24--中国银河-宏观研究：内外因助推人民币快速拉升_page4_图14USDCNYNDF.jpg	图中哪条曲线在2023年整体走势最为平稳？	USDCNY:NDF:1个月	USDCNY:NDF:3个月	USDCNY:NDF:1年	所有曲线都波动较大	C
lc	73	data/figure/lc/2023-09-24--中国银河-金融高频数据周报：央行回应市场关注热点：汇率、社融、降息_page5_图1710年期国债收益率上行至268.jpg	根据图表，中期借贷便利(MLF)利率在哪一年开始显著下降？	2022年	2023年	2021年	2024年	B
lc	74	data/figure/lc/2023-04-03--中银证券-宏观和大类资产配置周报：一季度风险资产整体表现更好_page7_图表6银行间回购利率表现.jpg	DR007在2022年的最高点出现在哪个月？	2022/6/8	2022/7/3	2022/12/25	2023/2/13	C
lc	75	data/figure/lc/2023-07-31--中邮证券-宏观研究：装备制造业盈利占优，消费需求温和复苏_page9_图表15八大城市地铁客运量.jpg	哪一年的地铁客流量最高？	2019	2020	2021	2023	D
lc	76	data/figure/lc/2024-02-26--中国银河-中央财经委第四次会议解读：新一轮朱格拉周期的可能性_page2_图2金融机构加权平均利率保持下行趋势.jpg	从2017年至2023年，哪种贷款的加权平均利率下降幅度最大？	个人住房贷款	一般贷款	企业贷款	所有贷款相同	A
lc	77	data/figure/lc/2023-10-16--开源证券-9月通胀数据点评：大宗商品涨价驱动PPI环比回升_page6_图9CPI和PPI预测.jpg	PPI同比增速在哪个年份达到峰值？	2018	2020	2021	2023	C
lc	78	data/figure/lc/2023-11-26--东海证券-宏观周报：地产销售恢复偏缓，风险化解力度加大_page3_图2商品住宅广义库存万平方米.jpg	哪一年住宅库存面积开始显著下降？	2019年	2020年	2021年	2022年	C
lc	79	data/figure/lc/2024-02-20--中邮证券-春节假期国内外宏观信息一览_page6_图表2美国CPI和核心CPI同比.jpg	图中CPI在哪个时间段达到最高点？	1970年代初	1980年代初	2000年代初	2010年代初	B
lc	80	data/figure/lc/2024-09-29--国信证券-宏观经济宏观周报：本周国内经济增长动能再次出现改善_page0_市场走势.jpg	哪一年CPI指数达到最高点？	2023年10月	2024年2月	2024年6月	2024年8月	B
lc	81	data/figure/lc/2024-08-04--国联证券-点评报告：下半年出口的韧性与弹性_page11_图表15全球工业母机工程机械出口情况.jpg	中国对发达国家工业母机+工程机械出口增速在哪一年达到峰值？	2021年	2022年	2023年	2024年	A
lc	82	data/figure/lc/2023-06-08--华泰期货-经济高频数据追踪_page13_no_caption.jpg	在2021年中，数据达到最高点的月份是？	1月	3月	6月	9月	B
lc	83	data/figure/lc/2023-06-08--华泰期货-经济高频数据追踪_page20_no_caption.jpg	哪一年的数据波动最小？	2019	2020	2021	2022	C
lc	84	data/figure/lc/2023-08-02--华福证券-7月宏观月报：经济稳步回升，政策多重利好_page6_图表8PPI当月同比及环比走势.jpg	哪一年的PPI环比波动最大？	2020	2021	2022	2023	C
lc	85	data/figure/lc/2024-05-16--东吴证券-宏观点评：美国4月通胀如何影响降息演绎_page3_图5住房通胀韧性十足.jpg	图中标准普尔/CS房价指数环比在2022年哪一季度降至最低点？	第一季度	第二季度	第三季度	第四季度	C
lc	86	data/figure/lc/2023-08-11--银河期货-高频数据周度分析_page8_no_caption.jpg	哪一年的PVC库存下降趋势最为明显？	2019年	2020年	2021年	2023年	B
lc	87	data/figure/lc/2023-11-24--开源证券-宏观深度报告：2024年宏观经济展望-破浪前行_page17_图23日本通胀仍在2以上.jpg	日本核心CPI在哪一年达到峰值？	2014	2015	2022	2023	C
lc	88	data/figure/lc/2023-09-13--中诚信国际-2023年8月价格数据点评：政策发力通胀拐点已至，价格水平有望延续回升_page3_图5PPI降幅收窄.jpg	图中显示，哪类食品在2022年10月至2022年12月期间波动最大？	鲜菜	畜肉类	蛋类	鲜果	A
lc	89	data/figure/lc/2023-07-17--中银证券-6月和二季度经济数据点评：基数扰动或已结束，但稳增长仍需宏观政策_page6_图表19房地产行业各渠道资金来源增速.jpg	图中哪类资金来源在2021年达到峰值后下降最快？	国内贷款	自筹	定金预收款	个人按揭	C
lc	90	data/figure/lc/2023-11-24--开源证券-宏观深度报告：2024年宏观经济展望-破浪前行_page26_图45预算赤字和广义赤字率有望延续高增.jpg	广义赤字率在哪一年增长最快？	2016	2017	2018	2019	D
lc	91	data/figure/lc/2024-08-02--国联证券-对7月PMI和高频数据的思考及未来经济展望：经济环比或降中趋稳_page15_图表22石油沥青装置开工率.jpg	哪一年的开工率在7月达到峰值？	2019	2020	2021	2023	B
lc	92	data/figure/lc/2024-02-20--东莞证券-2月LPR数据点评：经济恢复尚不稳固，5年期以上LPR降幅创历史新高，短期市场或偏乐观向上_page2_图3物价同比数据.jpg	根据图表，PPI在哪一年达到最低点？	2022年	2023年	2024年	2025年	B
lc	93	data/figure/lc/2023-09-15--中国银河-2023年8月经济数据分析：政策释放下经济平稳回升，房地产仍未止跌_page8_图20本地户籍失业率反弹外来与农业户籍失业率继续下降.jpg	观察图表，哪一年份的外来农业户籍人口失业率最高？	21-Feb	22-Feb	22-May	23-Aug	B
lc	94	data/figure/lc/2023-07-19--中银证券-关注美国银行业动荡向金融危机演变的两遍铃效应_page14_no_caption.jpg	在哪个年份，资产规模大于2500亿的净息差首次低于2%？	2020	2021	2022	2023	B
lc	95	data/figure/lc/2024-07-03--联储证券-2024年中宏观展望：固本培元，如日之升_page15_图31消费者信心指数有待进一步提升.jpg	哪一年全国城镇调查失业率最低？	18-Jan	20-Jan	22-Jan	24-Jan	A
lc	96	data/figure/lc/2024-06-10--开源证券-宏观周报：二手房成交延续高位，猪肉价格大幅回升_page5_图9最近两周乘用车四周滚动平均销量同比有所回升.jpg	哪一年零售销量与批发销量差距最大？	22-May	23-Jan	23-Sep	24-Jan	D
lc	97	data/figure/lc/2023-05-24--东海证券-供需视角下的房地产趋势研判：今朝不似昨朝寒，地产两极化显然_page8_图10住宅新开工与竣工累积面积万平方米.jpg	哪一年的竣工面积增速最高？	2003	2007	2011	2015	A
lc	98	data/figure/lc/2024-09-18--中银证券-8月金融数据点评：票据融资支撑信贷_page2_图表4货币供应量同比增速变动.jpg	M1同比增速在哪一年出现显著下降？	2022年	2023年	2024年	2025年	C
lc	99	data/figure/lc/2024-04-24--国金证券-流动性“新知”系列：债市的核心矛盾？_page9_图表24二季度政府债券供给压力边际回升2.jpg	在悲观情况下，哪个季度的政府债券融资年度值最低？	Q1	Q2	Q3	Q4	D
lc	100	data/figure/lc/2023-11-22--招银国际-2024年美国经济展望：在软着陆与温和衰退之间_page8_no_caption.jpg	新屋待售量在哪一年开始显著下降？	2007年	2009年	2011年	2013年	A
lc	101	data/figure/lc/2024-05-16--华泰期货-宏观大类日报：美国通胀温和回落_page2_图2全国城市二手房出售挂牌价指数丨单位.jpg	三线城市二手房出售挂牌价指数在哪一年首次低于一线城市？	2023年5月	2023年8月	2023年11月	2024年2月	B
lc	102	data/figure/lc/2023-06-12--国金证券-2023年5月物价点评：CPI缘何低预期？_page4_图表96月以来蔬菜价格回升.jpg	哪一年的蔬菜价格在5月达到最低点？	2019	2020	2021	2023	C
lc	103	data/figure/lc/2023-06-01--国金证券-2023年5月PMI点评：稳需求，时不我待_page2_no_caption.jpg	图中哪一年的从业人员指数最高？	2020年	2021年	2022年	2023年	D
lc	104	data/figure/lc/2024-10-08--民生证券-美国大选深度分析：哈里斯的“理想”与“现实”_page12_图172024年选举众议院归属的概率.jpg	图中民主党在9月1日的概率是多少？	50	62	45	38	B
lc	105	data/figure/lc/2023-08-10--北大国民经济研究中心-CPI、PPI点评报告：服务消费价格表现较好，工业出厂价格拐点已现_page4_图10交通和通信教育文化和娱乐医疗保健价格其他用品和服务价格同比.jpg	图中哪个指标在2023年4月达到最低值？	教育文化和娱乐CPI	医疗保健CPI	交通和通信CPI	其他用品和服务CPI	C
lc	106	data/figure/lc/2023-08-22--中国银河-7月财政收支分析：广义收支持续偏弱，需地产及准财政政策托底_page1_图2剔除留抵退税因素后实际财政累计同比增速.jpg	图中哪个时间段的实际公共财政收入累计同比增速首次低于零？	23-Feb	23-Apr	23-Jun	23-Aug	A
lc	107	data/figure/lc/2024-07-02--中信建投期货-2024年海外宏观与外汇半年报：政策分化下，多数市场压力继续_page8_图11主要市场通胀对比.jpg	在2022年，哪个国家的CPI增长最快？	德国	加拿大	澳大利亚	英国	D
lc	108	data/figure/lc/2023-10-04--山西证券-2023年9月PMI点评兼论利率影响：经济延续改善，收益率步入震荡_page1_图2非制造业PMI商务活动.jpg	图中哪一年的非制造业PMI最高？	2020年	2021年	2022年	2023年	D
lc	109	data/figure/lc/2024-02-28--东吴证券-海外科技股财报复盘+AI对公司业务影响_page10_图Azure季度收入及固定汇率下季度同比增速.jpg	在哪一个季度，Azure的同比增长率最高？	FY21Q1	FY22Q3	FY23Q1	FY24Q2	B
lc	110	data/figure/lc/2023-08-08--东吴证券-宏观点评：7月出口：数据罕见调整，该如何解读？_page4_图7全球制造业衰退接近尾声.jpg	瑞典制造业PMI新订单/库存在哪一年出现最低点？	2019	2020	2021	2022	B
lc	111	data/figure/lc/2024-02-26--东吴证券-海外宏观经济周报：美国经济表现是否会让降息预期一降再降？_page1_no_caption.jpg	图中显示，15年期抵押贷款固定利率在哪一年达到峰值？	2021	2022	2023	2024	C
lc	112	data/figure/lc/2023-07-23--东吴证券-宏观点评：美国房地产：软着陆到底是不是伪命题？_page4_图16房价及成屋销售中位数回升.jpg	成屋房价中位数在哪一年达到峰值？	20-Nov	21-Sep	22-Jul	23-May	C
lc	113	data/figure/lc/2023-12-15--华金证券-经济数据点评（2023.11）暨双循环周报·第36期：内需动能待夯实，宽松迎来窗口期_page5_图7城镇调查失业率与不同户籍人群表现.jpg	外来农业户籍的失业率在哪一年达到峰值？	2020	2021	2022	2023	C
lc	114	data/figure/lc/2023-10-20--中国银河-十载初折桂，百年新征程：推动“一带一路”战略发展的宏观意义与主题投资机会_page21_图25中国跨境人民币结算亿元.jpg	图中哪一年的跨境人民币结算实收金额增长最快？	2019年	2020年	2021年	2022年	D
lc	115	data/figure/lc/2024-02-27--国金证券-大类资产周报第19期：海外市场新高背后的“分化”？_page14_图表50当周人民币兑美元贬值.jpg	图中哪一年的美元兑离岸人民币汇率最低？	2022年	2023年	2024年	2025年	A
lc	116	data/figure/lc/2024-02-20--中邮证券-春节假期国内外宏观信息一览_page6_图表3美国PPI和核心PPI同比.jpg	图中核心PPI同比在哪一年首次超过8%？	2017	2019	2020	2021	D
lc	117	data/figure/lc/2023-09-18--中国银河-宏观周报：热点与高频-多项指标开始改善_page5_no_caption.jpg	伦敦现货黄金价格在哪一年达到最高点？	2020年	2021年	2022年	2023年	D
lc	118	data/figure/lc/2024-07-05--建信期货-宏观市场半年报：央行宽松、实体补库与春季躁动_page6_图3美欧日央行政策利率.jpg	图中哪一年美联储和欧洲央行的利率首次出现明显分化？	2015	2016	2017	2018	A
lc	119	data/figure/lc/2024-05-23--瑞达期货-【数据分析】地产政策迎来转变，内需复苏仍在持续——4月份经济数据解读_page5_图11社会消费品零售总额分项.jpg	图中社会消费品零售总额累计同比在哪一年开始显著下降？	2019年	2020年	2021年	2022年	B
