type	index	image	question	A	B	C	D	answer
lc	11	data/figure/lc/2023-11-27--国金证券-海外周度观察：谁是“变局者”，高利率状态下的资产负债表风险_page8_图表26还本付息压力分化美德英持续下降.jpg	在2024年，哪个国家的家庭部门偿债率最低？	美国	法国	无法确定	意大利	C
lc	12	data/figure/lc/2024-02-26--东吴证券-海外宏观经济周报：美国经济表现是否会让降息预期一降再降？_page1_no_caption.jpg	图中显示，20年期抵押贷款固定利率在哪一年达到峰值？	无法确定	2022	2023	2024	A
lc	13	data/figure/lc/2023-07-31--国金证券-见微知著系列之五十八：库存周期下，蕴藏的投资机遇_page7_图表205月发改委项目核准加快.jpg	在图表中，哪一年的曲线在10月后首次超过2万亿元？	2018	2019	2020	无法确定	D
lc	14	data/figure/lc/2024-07-02--中信建投期货-2024年海外宏观与外汇半年报：政策分化下，多数市场压力继续_page8_图11主要市场通胀对比.jpg	在2012年，哪个国家的CPI增长最快？	德国	加拿大	澳大利亚	无法确定	D
lc	15	data/figure/lc/2023-09-15--中国银河-2023年8月经济数据分析：政策释放下经济平稳回升，房地产仍未止跌_page8_图198月城镇失业率下降bf01.jpg	在哪个时间段，16-24岁人口的就业人员调查失业率第6次超过城镇调查失业率？	2019年Q4	2020年Q1	无法确定	2021年Q1	C
lc	16	data/figure/lc/2023-07-17--中银证券-6月和二季度经济数据点评：基数扰动或已结束，但稳增长仍需宏观政策_page6_图表19房地产行业各渠道资金来源增速.jpg	图中哪类资金来源在2024年达到峰值后下降最快？	无法确定	自筹	定金预收款	个人按揭	A
lc	17	data/figure/lc/2023-09-13--中诚信国际-2023年8月价格数据点评：政策发力通胀拐点已至，价格水平有望延续回升_page3_图5PPI降幅收窄.jpg	图中显示，哪类食品在2022年10月至2024年12月期间波动最大？	无法确定	畜肉类	蛋类	鲜果	A
lc	18	data/figure/lc/2024-02-26--中国银河-中央财经委第四次会议解读：新一轮朱格拉周期的可能性_page2_图2金融机构加权平均利率保持下行趋势.jpg	从2017年至2024年，哪种贷款的加权平均利率下降幅度最大？	个人住房贷款	一般贷款	企业贷款	无法确定	D
lc	19	data/figure/lc/2023-06-13--瑞达期货-宏观市场周报_page16_图7国内股指期货结算价.jpg	在2024年1月14日，上证50股指期货的价格大约是多少？	6000	无法确定	5500	5000	B
lc	20	data/figure/lc/2023-10-20--开源证券-兼评9月经济数据：市场与经济背离，博弈落在两个关键时点_page3_图4Q3居民消费率初步修复至疫前.jpg	观察图表，哪个季度的消费率在2024年恢复至最高水平？	Q1	Q2	Q3	无法确定	D
hg	21	data/figure/hg/2023-04-24--万和证券-二季度宏观展望：经济复苏的成色如何？_page13_图35主要指数涨跌幅1月30日4月17日.jpg	根据直方图，哪个指数在2月30日至5月17日期间跌幅最大？	中证1000	上证指数	沪深300	无法确定	D
hg	22	data/figure/hg/2023-06-02--粤开证券-【粤开宏观】从财税视角看海南：“热带宝地”的财政债务形势_page7_图表52020年海南省创造的税收收入来源分行业对比.jpg	根据直方图，哪个行业在2024年海南省创造的税收收入中占比最高？	无法确定	制造业	批发和零售业	建筑业	A
hg	23	data/figure/hg/2023-06-14--平安证券-2023下半年宏观经济展望：产能周期下的嬗变_page73_circledcirc三大新因素对我国潜在GDP增速的影响.jpg	在2051-2055期间，新冠疫情对GDP增速的影响与人口老龄化加速相比，哪个更大？	新冠疫情	人口老龄化加速	两者相同	无法确定	B
hg	24	data/figure/hg/2023-08-29--国金证券-海外周度观察：拜登“宽财政”还能持续吗？_page8_图表20芯片法案投资税收抵免支出仍将上升.jpg	从2022年到2032年，投资税收抵免支出的总和大约是多少亿美元？	180	200	无法确定	240	C
hg	25	data/figure/hg/2023-07-12--浦银国际证券-中国延长房地产金融支持政策和密集召开企业座谈会透露什么信号？_page4_no_caption.jpg	从2020年到2024年，新增专项债额度的增长趋势如何？	无法确定	先增后减	波动增长	保持不变	A
hg	26	data/figure/hg/2023-10-20--中国银行-宏观观察2023年第44期（总第499期）：《财富》世界500强企业经营新动态、影响及建议＊_page2_图120212022年世界500强企业利润主要行业分布情况.jpg	根据直方图，哪个行业在2024年的利润最高？	无法确定	炼油行业	采矿、原油生产行业	互联网服务和零售	A
hg	27	data/figure/hg/2023-08-05--中国银河-8月4日四部委联合发布会点评：逆周期调节加码，高质量发展升级_page20_图342023年47月交通运输细分行业多数下跌.jpg	根据直方图，哪个行业在2024年4-7月的涨跌幅最大？	物流	航空机场	航运港口	无法确定	D
hg	28	data/figure/hg/2024-08-18--中泰证券-2024年7月经济数据解读：广义与狭义基建投资增速继续分化_page3_图表12024年6月和7月主要行业增加值当月同比的对比.jpg	哪一行业的增加值同比增速在2023年6月显著高于7月？	通用设备制造业	无法确定	电气机械及器材制造业	医药制造业	B
hg	29	data/figure/hg/2024-05-22--国金证券-见微知著系列之七十六：工业品涨价的“复苏”逻辑_page5_图表9南华能化指数包括能源石化产品.jpg	在2024年6月调整后的南华能化指数权重中，哪个类别的产品权重最高？	无法确定	PTA	液化石油气	燃料油	A
hg	30	data/figure/hg/2022-11-30--腾景数研-腾景宏观月报：基于腾景国民经济运行全口径数据-10月全口径投资：“三支箭”纾困房地产，投资延续温和复苏_page5_no_caption.jpg	从直方图中可以看出，房屋施工面积累计同比在2024年4月至2024年10月期间的变化趋势是？	持续上升	波动下降	无法确定	保持稳定	C
hg	31	data/figure/hg/2022-12-22--国信证券-货币政策与流动性观察：金融数据“拐点”隐现_page5_图611月企业中长贷占比较高.jpg	在2024年，哪种类型的贷款占比最低？	中长期	短期	无法确定	无法确定	C
hg	32	data/figure/hg/2024-06-14--海通国际-国际能源与ESG周报：地缘政治扰动频发，全球电网投资景气度持续_page24_图32欧洲陆上风电新增装机及预测.jpg	从2022年到2030年，欧洲陆上风电新增装机量的增长趋势如何？	逐年下降	无法确定	先升后降	波动变化	B
hg	33	data/figure/hg/2024-02-05--国金证券-大类资产月报第9期：2月展望，行至水穷处？_page21_图表74欧洲主要消费品的对华依赖度.jpg	在欧洲2022年部分品类的对华依赖度中，哪个品类的依赖度超过4%？	数据处理设备	无法确定	光学仪器	鞋	B
hg	34	data/figure/hg/2024-02-02--国金证券-12月财政数据点评：基建类财政支出强度继续提升_page5_图表122023年12月基建类支出维持较高强度.jpg	2024年11月和12月相比，哪一项支出的增速变化最大？	无法确定	农林水社会保	教育	交通运	A
hg	35	data/figure/hg/2023-03-10--东吴证券-宏观点评：2月非农预示加息结局_page3_图7教育及卫生健康服务用工需求高.jpg	从2023年12月到2024年1月，哪个行业的职位空缺率下降最多？	制造业	无法确定	私人总计	贸易运输和公用事业	B
hg	36	data/figure/hg/2023-06-28--首创证券-5月经济数据点评：5月经济数据的一些积极特征_page5_图8多数商品的零售额同比改善地产类有所回升.jpg	从直方图中可以看出，2024年4月零售额同比增幅最小的商品类别是？	汽车	通讯器材	建筑及装潢材料	无法确定	D
hg	37	data/figure/hg/2023-06-06--浦银国际证券-2023年中期宏观经济展望：美国渐入衰退，中国复苏再起_page42_图表89消费各分项对GDP环比拉动率.jpg	从2023年3月到2024年3月，哪一项的环比拉动率总体呈下降趋势？	无法确定	非耐用品	耐用品	所有项目均未呈下降趋势	A
hg	38	data/figure/hg/2024-06-14--海通国际-国际能源与ESG周报：地缘政治扰动频发，全球电网投资景气度持续_page27_图36印度太阳能电池和组件产能MW.jpg	从2026年到2027年，哪种类型的组件容量增长最快？	无法确定	硅片/锭	硅片/锭	硅片	A
hg	39	data/figure/hg/2023-05-24--民生证券-宏观专题研究：“天量”信贷缘何难推投资高增？_page6_图8中长期贷款新增规模.jpg	在2024-03这一时间点，基础设施贷款新增规模占总新增规模的比例大约是多少？	50%	无法确定	30%	20%	B
hg	40	data/figure/hg/2022-11-27--粤开证券-【粤开宏观】负重前行的财政，逆势崛起的基建：2023年财政和基建形势展望_page5_图表2历年110月财政收入进度.jpg	从2020年到2024年，一般公共预算收入进度的变化趋势是？	逐年上升	逐年下降	无法确定	先升后降	C
frg	41	data/figure/frg/2023-12-15--化学制品-信德新材-快充元年放量在即，包覆龙头即将量利双升_page4_图表1辽宁信德新材料科技股份有限公司发展历程.jpg	信德化工在2011年通过何种方式设立信德化工？	无法确定	直接投资	并购重组	合资成立	A
frg	42	data/figure/frg/2023-12-01--化学制品-华盛锂电-电解液添加剂龙头，积极布局新业务寻找盈利增量_page4_图3截至2022年12月31日华盛锂电股权结构及主要子公司.jpg	截至2024年12月31日，江苏华盛锂电材料股份有限公司的最大股东是？	沈鸣	沈锦良	金农联相关企业	无法确定	D
frg	43	data/figure/frg/2023-11-29--专用设备-杰瑞股份-首次覆盖报告：立足高端装备制造，压裂设备行业领军者_page4_图1杰瑞股份发展历程.jpg	杰瑞股份在哪一年推出了世界首台4500型阿波罗涡轮压裂车？	2010	2014	2015	2019	B
frg	44	data/figure/frg/2023-07-23--医疗器械-西山科技-手术动力装置龙头，致力成为外科手术整体方案解决者_page3_图2股权结构图截至2023年7月.jpg	截至2024年12月31日，重庆西山科技股份有限公司的最大股东是谁？	无法确定	郭毅军	苏州金阖二期股权投资合伙企业	其他股东	A
frg	45	data/figure/frg/2023-08-06--工程建设-浙江交科-区域基建高景气，聚焦主业高分红地方国企再腾飞_page4_图2股权结构图截至2023年6月21日.jpg	截至2024年6月21日，浙江省财政厅通过浙江省财务开发有限责任公司间接持有浙江交通科技股份有限公司的比例是多少？	无法确定	9.03%	6.03%	3.6%	A
frg	46	data/figure/frg/2023-09-14--美容护理-润本股份-“庖丁解牛”拆析招股书（十九）润本股份：驱蚊赛道国货龙头，婴童护理业务未来可期_page28_图表公司营销相关事件.jpg	以下哪一项是润本股份在2010年10月采取的营销策略？	开通微信公众号，分享育儿知识、新品资讯、发布优惠信息	入驻小红书，分享育儿知识并进行产品咨询，吸引平台用户	李佳琦直播间销售润本婴儿益生元口手湿巾	无法确定	D
frg	47	data/figure/frg/2023-11-02--橡胶制品-通用股份-首次覆盖报告：“5X”战略保持公司成长性，行业修复有望带动公司业绩修复_page2_图1公司历史沿革.jpg	通用股份在2020年启动的全钢子午线轮胎项目的目标产能是多少？	100万套	无法确定	300万套	400万套	B
frg	48	data/figure/frg/2023-01-01--工程建设-乾景园林-中小盘首次覆盖报告：国晟能源入主，乘异质结电池之风而起_page2_图1本次控制权转让由股权转让与非公开发行两部分组成.jpg	国晟能源在完成标的股份过户手续后15个工作日内需支付的款项是多少？	3200万元	9513万元	无法确定	4.69亿元	C
frg	49	data/figure/frg/2023-05-15--通用设备-华中数控-国产高端数控系统龙头，产学研正循环下腾飞在即_page5_图5华中数控股权结构截止2023年4月.jpg	截至2024年4月，武汉华中数控股份有限公司的实际控制人合计持股比例是多少？	无法确定	57.21%	4.35%	70%	A
frg	50	data/figure/frg/2023-09-14--美容护理-润本股份-“庖丁解牛”拆析招股书（十九）润本股份：驱蚊赛道国货龙头，婴童护理业务未来可期_page4_图表公司发展历程.jpg	润本股份在2018-2014年期间的主要经营模式是什么？	单一销售模式	无法确定	线下直营店为主	线上电商平台为主	B
